Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
50	1596	3583	1963	54.79	3.53	19.54	0	14045	321380	0
2000	1391	3367	1951	57.94	3.57	23.89	0	14045	316834	0
1	1247	3204	1931	60.27	3.65	27.75	0	14045	329902	0
250	1407	3383	1955	57.79	3.71	22.53	0	14045	328774	0
98	1453	3390	1915	56.49	3.79	23.91	0	14045	330724	0
890	1444	3394	1928	56.81	3.64	21.48	0	14045	335698	0
150	1448	3418	1948	56.99	3.84	26.00	0	14045	334640	0
7899	1451	3398	1921	56.53	3.59	21.42	0	14045	327146	0
12000	1466	3398	1909	56.18	3.50	21.47	0	14045	329333	0
12035	1416	3385	1944	57.43	3.53	27.38	0	14045	322129	0
11390	1429	3382	1928	57.01	3.38	19.56	0	14045	314793	0
11040	1423	3379	1931	57.15	3.72	26.14	0	14045	326799	0
2035	1442	3395	1930	56.85	3.65	37.73	0	14045	347042	0
17899	1419	3373	1930	57.22	3.51	24.17	0	14045	320741	0
22000	1425	3398	1949	57.36	3.66	21.05	0	14045	322122	0
27899	1433	3410	1955	57.33	3.84	26.86	0	14045	321339	0
22035	1666	3575	1885	52.73	3.67	20.50	0	14045	319115	0
21390	1402	3357	1933	57.58	3.58	20.59	0	14045	327041	0
871	1457	3415	1934	56.63	3.84	23.64	0	14045	331696	0
31040	1471	3393	1897	55.91	3.57	19.95	0	14045	334746	0
32035	1453	3358	1884	56.10	3.74	35.10	0	14045	336734	0
1394	1442	3390	1924	56.76	3.68	35.85	0	14045	323932	0
33	1415	3389	1952	57.60	3.47	20.45	0	14045	328484	0
543	1428	3400	1951	57.38	3.62	24.77	0	14045	319280	0
9761	1613	3580	1944	54.30	3.39	23.11	0	14045	321745	0
90	1425	3410	1962	57.54	3.47	16.77	0	14045	335203	0
1176	1464	3382	1896	56.06	3.86	29.52	0	14045	335215	0
1098	1457	3357	1877	55.91	3.38	23.92	0	14045	334783	0
671	1396	3387	1966	58.05	3.56	19.96	0	14045	320799	0
8888	1620	3565	1922	53.91	3.78	31.18	0	14045	333308	0
