Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
98	5871	16012	9876	61.68	4.23	111.05	0	0	947729	0
250	6083	16234	9833	60.57	4.32	113.03	0	0	939364	0
2000	5920	16000	9827	61.42	4.40	130.57	0	0	938286	0
50	6029	16068	9718	60.48	4.25	109.15	0	0	947185	0
1	6038	16134	9744	60.39	4.36	131.09	0	0	962411	0
150	5870	16217	10007	61.71	4.60	118.40	0	0	944003	0
890	5794	16012	9936	62.05	4.35	112.49	0	0	978619	0
7899	6043	16013	9708	60.63	4.19	98.17	0	0	951133	0
11040	5976	16032	9729	60.68	4.16	115.73	0	0	964651	0
12035	5950	16166	9929	61.42	4.10	116.07	0	0	954670	0
11390	6038	16216	9815	60.53	4.30	112.90	0	0	951959	0
2035	6081	16061	9648	60.07	4.44	220.86	0	0	977515	0
17899	6097	15973	9573	59.93	4.30	117.21	0	0	948341	0
12000	5890	15927	9750	61.22	4.35	126.70	0	0	966847	0
22000	6126	16072	9597	59.71	4.20	120.94	0	0	954607	0
21390	5909	16171	9906	61.26	4.32	105.13	0	0	942091	0
22035	6258	15939	9352	58.67	4.23	121.32	0	0	948453	0
31040	6156	15948	9486	59.48	4.41	136.50	0	0	943012	0
27899	5798	16009	9918	61.95	4.38	123.92	0	0	949914	0
871	6070	15898	9523	59.90	4.35	131.50	0	0	977607	0
32035	5976	16084	9805	60.96	4.36	115.41	0	0	962922	0
543	6125	16057	9553	59.49	4.42	178.47	0	0	970392	0
9761	5860	16130	9945	61.66	4.25	128.98	0	0	950523	0
1098	5844	15963	9779	61.26	4.47	100.40	0	0	955126	0
1176	6157	15979	9445	59.11	4.34	121.98	0	0	941991	0
1394	6119	16014	9583	59.84	4.20	116.16	0	0	954320	0
33	6191	15972	9436	59.08	4.48	130.99	0	0	952035	0
90	6103	16129	9644	59.79	4.47	147.35	0	0	955504	0
671	6254	15944	9407	59.00	4.27	133.29	0	0	963247	0
8888	5912	15971	9769	61.17	4.13	108.39	0	0	971438	0
