Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
98	2690	7963	5134	64.47	2.85	13.29	164664	0
1	2704	7968	5123	64.29	2.80	13.15	165202	0
250	2716	7981	5123	64.19	2.95	21.75	170333	0
150	2709	7969	5127	64.34	2.83	14.62	170584	0
50	2720	7974	5118	64.18	2.86	22.83	169445	0
7899	2671	8011	5202	64.94	2.89	14.42	168358	0
2000	2683	7965	5139	64.52	2.86	19.24	166765	0
2035	2700	7963	5106	64.12	2.94	17.13	168305	0
890	2699	7953	5109	64.24	2.86	22.28	167663	0
11040	2699	7949	5087	64.00	2.86	17.97	171393	0
12000	2681	7952	5139	64.63	2.87	17.20	168979	0
11390	2705	7977	5134	64.36	2.84	16.57	169036	0
17899	2682	7985	5162	64.65	2.86	19.42	170851	0
12035	2656	7967	5172	64.92	2.82	13.22	168165	0
27899	2707	7973	5103	64.00	2.84	14.41	165050	0
22000	2704	7975	5133	64.36	2.88	22.66	172657	0
22035	2708	7995	5150	64.42	2.85	23.75	170270	0
21390	2681	7969	5152	64.65	2.92	20.31	170853	0
31040	2703	7964	5093	63.95	2.81	12.16	164164	0
871	2682	7997	5154	64.45	2.84	14.46	166875	0
32035	2647	7971	5189	65.10	2.92	21.47	171219	0
33	2660	7962	5167	64.90	2.94	19.97	169754	0
1098	2692	7977	5122	64.21	2.83	15.36	172147	0
90	2685	7947	5130	64.55	2.89	12.20	170339	0
1176	2682	7967	5147	64.60	2.91	13.43	167809	0
543	2658	7954	5155	64.81	2.84	16.15	167031	0
671	2647	7957	5164	64.90	2.85	13.13	170159	0
9761	2701	7942	5079	63.95	2.79	11.82	163964	0
1394	2701	7973	5116	64.17	2.80	13.98	170310	0
8888	2676	7966	5144	64.57	2.87	19.56	171349	0
