Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
50	5209	10007	4638	46.35	2.98	44.66	0	14046	778562	0
98	5038	9761	4564	46.76	3.00	65.48	0	14046	774744	0
1	5049	9722	4506	46.35	3.01	59.85	0	14046	807058	0
250	5146	9974	4667	46.79	3.19	77.25	0	14046	742809	0
11040	5188	9839	4494	45.68	2.96	65.93	0	14046	749307	0
7899	4978	9592	4451	46.40	3.07	70.39	0	14046	758750	0
150	5266	10071	4639	46.06	3.17	58.33	0	14046	759792	0
2000	5235	9806	4402	44.89	3.07	55.10	0	14046	808124	0
890	5308	9986	4506	45.12	3.10	56.77	0	14046	800191	0
2035	5099	9577	4325	45.16	3.06	60.91	0	14046	795650	0
12000	5228	10069	4672	46.40	3.06	42.17	0	14046	760624	0
22035	4899	9644	4587	47.56	3.00	62.47	0	14046	767681	0
21390	5085	9660	4417	45.72	3.00	59.97	0	14046	778689	0
11390	4844	9634	4634	48.10	2.94	54.96	0	14046	776603	0
22000	5261	9716	4295	44.21	3.04	67.11	0	14046	783465	0
17899	5311	10035	4565	45.49	3.07	49.68	0	14046	796510	0
12035	5209	10069	4699	46.67	3.14	73.29	0	14046	808072	0
33	5237	9695	4291	44.26	3.14	65.09	0	14046	764718	0
27899	5334	10264	4760	46.38	3.13	70.47	0	14046	738205	0
1098	5114	9871	4595	46.55	3.11	63.98	0	14046	762843	0
90	5031	9837	4650	47.27	2.95	54.54	0	14046	780592	0
871	5074	9792	4557	46.54	3.08	56.69	0	14046	779890	0
32035	4648	9412	4609	48.97	3.46	71.61	0	14046	792089	0
31040	5325	9769	4289	43.90	3.29	74.53	0	14046	797965	0
8888	4960	9759	4649	47.64	3.23	55.30	0	14046	756299	0
543	4824	9542	4550	47.68	3.12	71.55	0	14046	760226	0
1394	4966	9801	4679	47.74	3.06	57.13	0	14046	761641	0
1176	5072	9821	4596	46.80	3.01	56.83	0	14046	782655	0
9761	5244	9998	4579	45.80	3.03	47.77	0	14046	776630	0
671	4952	9689	4577	47.24	3.09	61.73	0	14046	782812	0
