Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	L3 Drop	HelloPackets	PhyRxDrop	PhyTxDrop
1	5185	7990	2628	32.89	4.70	1095.28	0	0	1385756	0
98	5391	8137	2618	32.17	3.34	402.57	0	0	1376338	0
50	5258	8245	2857	34.65	3.91	494.12	0	0	1442530	0
890	4786	7329	2358	32.17	3.50	460.45	0	0	1399087	0
2000	5884	8439	2362	27.99	4.51	631.05	0	0	1423755	0
150	5289	8113	2676	32.98	4.86	1303.11	0	0	1429918	0
250	4547	7378	2699	36.58	3.04	301.71	0	0	1456629	0
12000	4263	6891	2484	36.05	3.91	661.43	0	0	1406065	0
11390	4634	7467	2653	35.53	4.22	739.35	0	0	1416673	0
2035	4640	7345	2611	35.55	3.83	373.77	0	0	1432125	0
12035	5795	8691	2645	30.43	5.19	912.70	0	0	1460368	0
11040	6479	9292	2602	28.00	4.22	632.11	0	0	1446698	0
17899	6288	9289	2770	29.82	5.30	891.11	0	0	1441683	0
7899	4622	7289	2533	34.75	4.62	614.96	0	0	1476494	0
21390	4958	7747	2619	33.81	3.23	465.29	0	0	1347512	0
871	4717	7573	2702	35.68	4.33	549.83	0	0	1413556	0
31040	5034	7557	2442	32.31	3.57	471.65	0	0	1411236	0
22000	6096	8964	2652	29.59	5.87	621.36	0	0	1434868	0
22035	5524	8397	2784	33.15	4.36	527.28	0	0	1398083	0
32035	5633	8403	2646	31.49	4.51	867.48	0	0	1442968	0
27899	6307	9102	2605	28.62	3.49	405.94	0	0	1485857	0
1394	5017	7568	2449	32.36	4.35	694.33	0	0	1383531	0
9761	4269	6819	2434	35.69	4.06	490.61	0	0	1375362	0
90	5250	7616	2274	29.86	4.70	747.85	0	0	1404938	0
543	6404	9330	2722	29.17	4.28	477.12	0	0	1423330	0
1098	5628	8609	2739	31.82	4.23	591.65	0	0	1414823	0
1176	5387	8138	2605	32.01	5.57	987.54	0	0	1412476	0
33	5224	7953	2685	33.76	3.60	356.49	0	0	1423597	0
671	5420	8178	2644	32.33	3.72	466.52	0	0	1400244	0
8888	6334	9242	2698	29.19	3.55	413.33	0	0	1461847	0
