Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
1	5809	16194	10023	61.89	3.04	26.88	328475	0
50	5787	16180	10056	62.15	3.09	23.93	332921	0
2000	5747	16255	10166	62.54	3.07	29.56	322689	0
250	5856	16171	9971	61.66	3.08	23.89	330917	0
2035	5784	16175	10049	62.13	3.09	26.50	333700	0
98	5845	16253	10052	61.85	3.07	22.70	336344	0
150	5778	16137	10029	62.15	3.06	21.84	337110	0
890	5875	15979	9746	60.99	3.04	31.23	336336	0
12000	5788	16174	10020	61.95	3.11	22.14	331216	0
21390	5853	16087	9907	61.58	3.08	23.11	323575	0
17899	5839	16170	9968	61.65	3.05	23.53	326094	0
7899	5788	16143	10007	61.99	3.10	27.99	329293	0
11040	5854	16200	10004	61.75	3.08	24.38	332062	0
11390	5926	16138	9865	61.13	3.14	29.62	322551	0
12035	5869	16142	9938	61.57	3.15	28.43	333476	0
871	5817	16193	10046	62.04	3.09	28.26	329434	0
22000	5854	16183	9918	61.29	3.08	27.80	327435	0
27899	5724	16144	10077	62.42	3.07	21.71	328027	0
33	5888	16158	9896	61.25	3.07	28.26	324500	0
32035	5738	16182	10086	62.33	3.09	28.78	325939	0
31040	5758	16123	9987	61.94	3.06	32.92	328341	0
22035	5887	16172	9945	61.50	3.07	25.08	337663	0
1098	5810	16184	10025	61.94	3.10	25.69	336026	0
543	5869	16205	9985	61.62	3.09	21.53	326617	0
90	5836	16117	9924	61.57	3.03	26.66	332889	0
1394	5888	16219	9982	61.55	3.08	26.61	329518	0
9761	5731	16257	10187	62.66	3.08	19.84	334484	0
8888	5798	16149	10012	62.00	3.11	25.84	337260	0
1176	5902	16199	9969	61.54	3.10	30.55	330243	0
671	5979	16110	9779	60.70	3.14	25.40	340790	0
